ID,Apartment,House,Room,Price per month,Size(sqm),Price per sqm,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Street,Number of rooms,Number of seperated rooms,Number of half rooms,Type of the building,"Type of building: Castle, villa",Type of building: house,Type of the building: Part of house,Type of the building: Raw house,Type of building: Semi detached house,Deposit,Utilities,Common cost,Furniture,Furniture: Empty,Furniture: Equipped,Furniture: Furnished,Furniture: Partly furnished,Floor,Balconies,View,"View: Courtyard, sunny",View: Courtyard,View: Garden,View: Panoramic,View: Park,View: Street,"View: Street, quiet","View: Street, sunny",View: City,View: Hills,Shortest rental period,Children welcomed,American kitchen,Can be an office,Foreigners welcomed,Washing machine,Details,Area,Transportation,Near universities,Latitude,Longitude
0,0,1,0,1206,120,10.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bártfai utca,"
                2 rooms                 + 3 half room            ",2,3,Row house,0,1,0,1,0,2411,155,-1,"Partly furnished, equipped",0,1,0,1,-1,-1,Overlooking the garden,0,0,1,0,0,0,0,0,0,0,3,-1,-1,-1,-1,-1,pesthouse.alberlet.hu,Széll Kálmán square,"7 bus, Matro 4",,47.4664148,19.0356809
1,0,1,0,1824,310,5.883870968,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kilincs utca,"
                6 rooms                            ",6,0,Semi detached house,0,1,0,0,1,3648,155,-1,"Empty, furnished as well",1,0,1,0,-1,-1,View to the hills,0,0,0,0,0,0,0,0,0,1,12,1,-1,-1,1,-1,"In the 2nd district on Kilincs street a 310 sqm, 6-roomed, mechanized, american kitchen, panoramic, with balcony, garage, renovated, sauna, 4-storey garden-friendly, pet friendly semi-detached house for rent.

The cost of housing is about 50,000 HUF per month, but it also depends on consumption.
The property is subject to negotiation. Pet friendly and outdoors can be smoked.
In the basement of the house there is a garage and a sauna.
The house has 3 baths + wc, plus a separate toilet.
On the first floor there are 2 balconies and on the ground floor there is a huge terrace.

Minimum rental period is 1 year!
The house can be moved immediately by paying a 2 month deposit and the rent for the month.",Near Danube,"Metro 3 blue						",,47.5689645,18.962806
2,0,1,0,448,77,5.818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Dabas utca,"
                3 rooms                            ",3,0,Part of house,0,1,1,0,0,1051,124,-1,"Furnished, equipped",0,1,1,0,-1,-1,Street and courtyard,0,1,0,0,0,1,0,0,0,0,-1,1,-1,-1,1,1," 
",Széll Kálmán square,Metro 2 red,,47.41711738,19.09384765
3,0,1,0,773,70,11.04285714,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Szádelő köz,"
                2 rooms                 + 1 half room            ",2,1,House,0,1,0,0,0,1546,46,-1,"Empty, furnished as well",1,0,1,0,-1,-1,Overlooking the garden,0,0,1,0,0,0,0,0,0,0,12,1,-1,1,-1,-1,diamond.alberlet.hu,Széll Kálmán square,Metro 2 red,,47.4561437,19.0310796
4,0,1,0,556,80,6.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Tihany utca,"
                2 rooms                            ",2,0,House,0,1,0,0,0,1113,155,12,Empty,1,0,0,0,-1,-1,Overlooking the garden,0,0,1,0,0,0,0,0,0,0,12,-1,-1,1,-1,-1,duskagabriella.alberlet.hu,Danube view,Metro 3 blue,,47.513821,19.140497
5,0,1,0,896,130,6.892307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Nádasdy utca,"
                4 rooms                            ",4,0,House,0,1,0,0,0,1793,77,-1,"Furnished, equipped",0,1,1,0,-1,-1,"Courtyard, sunny",1,1,0,0,0,0,0,0,0,0,12,1,-1,-1,-1,-1,-1,Danube view,"4, 6 trams",,47.452398,19.1264105
6,0,1,0,155,30,5.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Dózsa György út,"
                1 room                            ",1,0,House,0,1,0,0,0,155,62,15,"Furnished, equipped",0,1,1,0,-1,-1,"Courtyard, sunny",1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,Danube view,,,47.4060123,18.999174
7,0,1,0,680,90,7.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fogarasi út,"
                3 rooms                            ",3,0,House,0,1,0,0,0,1360,139,9,Empty,1,0,0,0,-1,-1,Street and courtyard,0,1,0,0,0,1,0,0,0,0,12,-1,-1,-1,-1,-1,duskagabriella.alberlet.hu,,,,47.5101172,19.1304605
8,0,1,0,182,50,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Köves utca,"
                1 room                 + 1 half room            ",1,1,House,0,1,0,0,0,182,10819,15,"Partly furnished, equipped",0,1,0,1,-1,-1,Street and courtyard,0,1,0,0,0,1,0,0,0,0,8,-1,1,-1,-1,-1,-1,,,,0,0
9,0,1,0,742,140,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Margit utca,"
                5 rooms                 + 3 half room            ",5,3,House,0,1,0,0,0,1484,124,-1,"Partly furnished, equipped",0,1,0,1,-1,-1,Street and courtyard,0,1,0,0,0,1,0,0,0,0,-1,-1,-1,1,-1,-1,diamond.alberlet.hu,,,,47.5154171,19.1859379
